https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請-電話番号1,業種,確認番号,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通し番号,名称（屋号・商号）,,所在地,,,電話番号,氏名又は法人名,電話番号,業種,施設番号,"許可
年月日","初回許可
年月日",,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
１,ゆっこ鮨,神奈川県,,,,,阿部　健悦,,飲食店営業,第2021-001-0269号,R03.11.01,S57.12.11,,147,ゆっこ鮨,,,,,,神奈川県　,神奈川県,,,14,,,,1982/12/11,2021/11/01,,,,阿部　健悦,,,,,,,,,第2021-001-0269号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ゆっこ鮨,c1a1bafe-7f6e-45de-9b5c-3e594b4ea730,,personal,61e66d7b-c06e-4f1c-88ed-e6bde24291d1,2021/11/01,ゆっこ鮨,ゆっこ鮨,
２,有限会社　ふじみ野伊勢屋,神奈川県,平塚市ふじみ野１－２７－７,平塚市ふじみ野１－２７－７,,0463-58-7808  ,有限会社　ふじみ野伊勢屋,0463-58-7808  ,魚介類販売業,第2021-014-0017号,R03.11.01,S57.12.01,,147,有限会社　ふじみ野伊勢屋,0463,0463-58-7808,,,,神奈川県　平塚市ふじみ野１－２７－７,神奈川県平塚市ふじみ野１－２７－７,,81425,14,14203,ふじみ野１,,1982/12/01,2021/11/01,,,有限会社　ふじみ野伊勢屋,,0463-58-7808  ,,,,,,,,第2021-014-0017号,,魚介類販売業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,,,有限会社ふじみ野伊勢屋0463-58-78088142514203,031e37c2-b8ce-4275-aea7-5465c11d6555,有限会社ふじみ野伊勢屋,ef834711-5e5e-4ebd-8e61-32a2bb780bb7,f83b5c21-94de-408f-9731-6af9eb4b84be,2021/11/01,有限会社ふじみ野伊勢屋,有限会社ふじみ野伊勢屋,有限会社ふじみ野伊勢屋
３,遊漫亭,神奈川県,平塚市花水台３６－１０,平塚市花水台３６－１０,,0463-31-5387  ,株式会社　遊漫亭,0463-31-5387  ,飲食店営業,第2021-001-0279号,R03.11.02,H03.12.04,,147,遊漫亭,0463,0463-31-5387,,,,神奈川県　平塚市花水台３６－１０,神奈川県平塚市花水台３６－１０,,81407,14,14203,花水台,,1991/12/04,2021/11/02,,,株式会社　遊漫亭,,0463-31-5387  ,,,,,,,,第2021-001-0279号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,遊漫亭0463-31-53878140714203,274a3756-134d-4c07-a972-00999d847441,株式会社遊漫亭,398684b5-f92a-4a4c-b351-a548cbbde448,22fd9fd2-1496-4365-b55c-ae640fcaea24,2021/11/02,遊漫亭,遊漫亭,株式会社遊漫亭
５,亀善,神奈川県,,,,,佐藤　敦子,,飲食店営業,第2021-001-0276号,R03.11.04,H26.11.25,,147,亀善,,,,,,神奈川県　,神奈川県,,,14,,,,2014/11/25,2021/11/04,,,,佐藤　敦子,,,,,,,,,第2021-001-0276号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,亀善,82633a86-0bb3-47e1-a95a-b68a0677746e,,personal,594a282e-b4d6-4e71-be10-08c7b364831d,2021/11/04,亀善,亀善,
６,ファミリーマート　平塚山下店,神奈川県,平塚市山下１４－１,平塚市山下１４－１,,0463-37-3812  ,有限会社フォンテーヌ,0463-58-0614  ,飲食店営業,第2021-001-0264号,R03.11.04,H27.11.18,,147,ファミリーマート　平塚山下店,0463,0463-37-3812,,,,神奈川県　平塚市山下１４－１,神奈川県平塚市山下１４－１,,81445,14,14203,山下,,2015/11/18,2021/11/04,,,有限会社フォンテーヌ,,0463-58-0614  ,,,,,,,,第2021-001-0264号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ファミリマト平塚山下店0463-37-38128144514203,4298d2c8-b6f7-4e20-8bff-2c7494472dea,有限会社フォンテーヌ,15912530-b5b3-4eef-8e8e-6d2dc9edabde,f481de87-4a8f-4a76-bf8b-4ae9e4290c75,2021/11/04,ファミリーマート　平塚山下店,ファミリマト平塚山下店,有限会社フォンテーヌ
７,ケーキハウス　菓子の里,神奈川県,中郡二宮町一色１３１０－５,中郡二宮町一色１３１０－５,,0463-73-3065  ,小早川　弘一,,菓子製造業,第2021-003-0041号,R03.11.05,H09.12.04,,147,ケーキハウス　菓子の里,0463,0463-73-3065,,,,神奈川県　中郡二宮町一色１３１０－５,神奈川県中郡二宮町一色１３１０－５,,83010,14,14342,一色,,1997/12/04,2021/11/05,,,,小早川　弘一,,,,,,,,,第2021-003-0041号,,菓子製造業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,ケキハウス菓子の里0463-73-30658301014342,83bde66c-ed0a-4be8-9479-2beec2f808f3,,personal,616408b1-8a23-4935-8e21-322b230f6872,2021/11/05,ケーキハウス　菓子の里,ケキハウス菓子の里,
８,アトリエアンジェ,神奈川県,平塚市南原２－８－２６,平塚市南原２－８－２６,,0463-33-5512  ,株式会社アトリエアンジェ,0463-31-6347  ,飲食店営業,第2021-001-0284号,R03.11.08,H27.12.07,,147,アトリエアンジェ,0463,0463-33-5512,,,,神奈川県　平塚市南原２－８－２６,神奈川県平塚市南原２－８－２６,,81437,14,14203,南原２,,2015/12/07,2021/11/08,,,株式会社アトリエアンジェ,,0463-31-6347  ,,,,,,,,第2021-001-0284号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,アトリエアンジェ0463-33-55128143714203,c16f50c7-71a9-4a9d-8d63-d062c0a1e98c,株式会社アトリエアンジェ,d3c62790-745f-4a39-9c87-df526ea53feb,c5de9a3e-0af6-4baf-b033-5435fef7a02e,2021/11/08,アトリエアンジェ,アトリエアンジェ,株式会社アトリエアンジェ
９,らーめん　由喜,神奈川県,,,,0463-35-1551  ,小林　由喜夫,,飲食店営業,第2021-001-0285号,R03.11.08,S63.11.14,,147,らーめん　由喜,,0463-35-1551,,,,神奈川県　,神奈川県,,,14,,,,1988/11/14,2021/11/08,,,,小林　由喜夫,,,,,,,,,第2021-001-0285号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,らめん由喜0463-35-1551,165e5894-c0cb-400b-b2e0-6de4bb9a8f71,,personal,9d9bb28d-b695-47f9-85b6-9bee4bc531e3,2021/11/08,らーめん　由喜,らめん由喜,
１４,ダイニングバー　ＴＵＫＩ,神奈川県,平塚市紅谷町４－１８,平塚市紅谷町４－１８,,0463-80-9500  ,小澤　美奈,,飲食店営業,第2021-001-0290号,R03.11.15,H27.12.09,,147,ダイニングバー　ＴＵＫＩ,0463,0463-80-9500,,,,神奈川県　平塚市紅谷町４－１８,神奈川県平塚市紅谷町４－１８,,81428,14,14203,紅谷町,,2015/12/09,2021/11/15,,,,小澤　美奈,,,,,,,,,第2021-001-0290号,,飲食店営業,,,,147_神奈川県_平塚保健福祉事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ダイニングバＴＵＫＩ0463-80-95008142814203,0d9d8179-4bd6-40a7-8e1d-9c68664ebd1f,,personal,88e90707-2ca1-4dc8-8dd5-6b6033fc5ba3,2021/11/15,ダイニングバー　ＴＵＫＩ,ダイニングバＴＵＫＩ,
