https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人個人,申請区分,施設番号,営業所種類,名称（屋号）,,営業所所在地,,営業所電話番号,申請者氏名,申請者法人名,申請者代表者名,申請者住所（法人）,,申請者電話番号（法人）,申請者住所（個人）,申請者電話番号（個人）,業種名,許可条件,シール番号,許可番号,移動販売,自販機,初回許可年月日,申請年月日,判定年月日,許可年月日,満了年月日,廃業年月日,休業開始年月日,休業終了年月日,H30法改正,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
個人,新規,1724,,マルヤ,新潟県,三条市居島７－１,,0256-33-2444,丸山　友宏,,,,,,,,⑪ 菓子製造業,,,4 - 265,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,マルヤ,0256,0256-33-2444,,,,新潟県　三条市居島７－１,新潟県三条市居島７－１,,86136,15,15204,居島,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,丸山　友宏  ,,,,,,,,,4 - 265,新規,菓子製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,マルヤ0256-33-24448613615204,a3e01c4a-5de1-4c9c-b436-5424a1fafc8b,,personal,39cbcd89-822b-4f9f-8eec-c939a849adf5,2022/02/26,マルヤ,マルヤ,
個人,新規,2424,,食品のふじしま,新潟県,三条市東三条１－１７－１０,,0256-32-0821,藤島　弘,,,,,,,,① 飲食店営業,,,4 - 271,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,食品のふじしま,0256,0256-32-0821,,,,新潟県　三条市東三条１－１７－１０,新潟県三条市東三条１－１７－１０,,86147,15,15204,東三条１,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,藤島　弘  ,,,,,,,,,4 - 271,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,食品のふじしま0256-32-08218614715204,9c923dde-e0ea-4b01-855e-336e8dc58280,,personal,92fa0f21-ca2b-4488-a41b-653c41295138,2022/02/26,食品のふじしま,食品のふじしま,
個人,新規,2424,,食品のふじしま,新潟県,三条市東三条１－１７－１０,,0256-32-0821,藤島　弘,,,,,,,,④ 魚介類販売業,,,4 - 271,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,食品のふじしま,0256,0256-32-0821,,,,新潟県　三条市東三条１－１７－１０,新潟県三条市東三条１－１７－１０,,86147,15,15204,東三条１,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,藤島　弘  ,,,,,,,,,4 - 271,新規,魚介類販売業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,I,58,,,食品のふじしま0256-32-08218614715204,9c923dde-e0ea-4b01-855e-336e8dc58280,,personal,685cda61-d1f9-4511-9fa2-a362ab03f149,2022/02/26,食品のふじしま,食品のふじしま,
個人,新規,2853,,冨士屋,新潟県,三条市由利２番２９号,,0256-32-4708,倉藤　寿美子,,,,,,,,① 飲食店営業,,,4 - 269,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,冨士屋,0256,0256-32-4708,,,,新潟県　三条市由利２番２９号,新潟県三条市由利２番２９号,,86123,15,15204,由利,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,倉藤　寿美子  ,,,,,,,,,4 - 269,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,冨士屋0256-32-47088612315204,080a036a-8d01-4bc5-aef7-444dc857b7b4,,personal,7ab4e9c3-bad0-4d78-9acf-3b208230b885,2022/02/26,冨士屋,冨士屋,
個人,新規,2870,,野積屋食料品店,新潟県,三条市林町１丁目２番２号,,0256-33-2466,栗山　久作,,,,,,,,① 飲食店営業,,,4 - 270,0,0,2022年02月26日,2022年02月10日,2022年02月25日,2022年02月26日,2027年05月31日,,,,,,154,野積屋食料品店,0256,0256-33-2466,,,,新潟県　三条市林町１丁目２番２号,新潟県三条市林町１丁目２番２号,,86145,15,15204,林町１,2022/02/10,2022/02/26,2022/02/26,,2027/05/31,,栗山　久作  ,,,,,,,,,4 - 270,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,野積屋食料品店0256-33-24668614515204,fb151a1a-97d8-453d-8e18-5bbbb2c14a5a,,personal,2d3eefb8-5887-4d21-b923-62868363b08b,2022/02/26,野積屋食料品店,野積屋食料品店,
個人,新規,3313,,はなびや,新潟県,南蒲原郡　田上町大字川船河甲１６６８番地８,,0256-57-5995,熊倉　三男,,,,,,,,① 飲食店営業,,,4 - 239,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,はなびや,0256,0256-57-5995,,,,新潟県　南蒲原郡　田上町大字川船河甲１６６８番地８,新潟県南蒲原郡田上町川船河甲１６６８番地８,,90348,15,15361,川船河,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,,熊倉　三男  ,,,,,,,,,4 - 239,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,はなびや0256-57-59959034815361,e97416f7-a26a-4bfb-9489-4ac037656804,,personal,53498931-f21d-4bf5-a8c6-44553f7be443,2022/02/04,はなびや,はなびや,
個人,新規,3322,寿し処,栄蔵,新潟県,南蒲原郡　田上町大字羽生田３７番地３,,0256-57-3879,相田　敏春,,,,,,,,㉕ そうざい製造業,,,4 - 241,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,栄蔵,0256,0256-57-3879,,,,新潟県　南蒲原郡　田上町大字羽生田３７番地３,新潟県南蒲原郡田上町羽生田３７番地３,,90353,15,15361,羽生田,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,,相田　敏春  ,,,,,,,,,4 - 241,新規,そうざい製造業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,E,9,,,栄蔵0256-57-38799035315361,e7e90657-9394-4124-a735-ceede6defb80,,personal,e4f05edc-ee27-4916-ae1a-9460774d4d26,2022/02/04,栄蔵,栄蔵,
個人,新規,3322,寿し処,栄蔵,新潟県,南蒲原郡　田上町大字羽生田３７番地３,,0256-57-3879,相田　敏春,,,,,,,,① 飲食店営業,,,4 - 241,0,0,2022年02月04日,2022年01月27日,2022年02月03日,2022年02月04日,2027年03月31日,,,,,,154,栄蔵,0256,0256-57-3879,,,,新潟県　南蒲原郡　田上町大字羽生田３７番地３,新潟県南蒲原郡田上町羽生田３７番地３,,90353,15,15361,羽生田,2022/01/27,2022/02/04,2022/02/04,,2027/03/31,,相田　敏春  ,,,,,,,,,4 - 241,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,栄蔵0256-57-38799035315361,e7e90657-9394-4124-a735-ceede6defb80,,personal,6423fb11-6faf-4406-97dd-0ed57acae752,2022/02/04,栄蔵,栄蔵,
個人,新規,3344,食堂,しみず,新潟県,南蒲原郡　田上町大字吉田新田字大清水５０７番地１,,0256-57-2926,合田　俊三,,,,,,,,① 飲食店営業,,,4 - 247,0,0,2022年02月19日,2022年01月27日,2022年02月18日,2022年02月19日,2027年03月31日,,,,,,154,しみず,0256,0256-57-2926,,,,新潟県　南蒲原郡　田上町大字吉田新田字大清水５０７番地１,新潟県南蒲原郡田上町吉田新田字大清水５０７番地１,,90358,15,15361,吉田新田,2022/01/27,2022/02/19,2022/02/19,,2027/03/31,,合田　俊三  ,,,,,,,,,4 - 247,新規,飲食店営業,,,,154_新潟県_三条保健所_食品衛生(許可-届出)_2022年02月_末日_新規,M,76,,,しみず0256-57-29269035815361,3085ebfc-2950-4922-97cf-1d440f34156e,,personal,8d4cf521-d6b8-4674-a925-212960b0bdc8,2022/02/19,しみず,しみず,
