https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,営業所電話番号,業　　種,営業者名(申請者氏名),営業者名(法人の代表者氏名),営業者住所(所在地),,,営業者電話番号,初回の許可年月日,最新の許可年月日,新規か継続か,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
呑みほぐし　あっちゃん,石川県,加賀市山代温泉壱七17番地甲三喜ビル101,加賀市山代温泉壱七１７番地,甲三喜ビル１０１,,飲食店営業,川上友香里,,,,,,2022.2.1,2022.2.1,新規,第62215178号,,217,呑みほぐし　あっちゃん,0761,,,,,石川県　加賀市山代温泉壱七１７番地,石川県加賀市山代温泉壱七１７番地,甲三喜ビル１０１,95949,17,17206,山代温泉,,2022/02/01,2022/02/01,,,,川上友香里 ,,,,,,,,,第62215178号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,呑みほぐしあっちゃん9594917206,da18297c-eca2-494d-9222-d5230fb9e2d1,,personal,beb638a8-584f-4555-b4e3-cbb7897cadb0,2022/02/01,呑みほぐし　あっちゃん,呑みほぐしあっちゃん,
にちにち好日 VegeLabo,石川県,加賀市小塩辻町ケ69,加賀市小塩辻町ケ６９,,,菓子製造業,株式会社にちにち好日,長谷川琢磨,加賀市大聖寺新町1‐1,加賀市大聖寺新町１－１,,,2022.2.7,2022.2.7,新規,第62215179号,,217,にちにち好日 VegeLabo,0761,,,,,石川県　加賀市小塩辻町ケ６９,石川県加賀市小塩辻町が６９,,95805,17,17206,小塩辻町,,2022/02/07,2022/02/07,,,株式会社にちにち好日,長谷川琢磨,,加賀市大聖寺新町１－１,石川県加賀市大聖寺新町１－１,,95872,石川県,加賀市,大聖寺新町,第62215179号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,にちにち好日ＶｅｇｅＬａｂｏ9580517206,45d01528-9196-4183-aef7-fc95ffa8a627,株式会社にちにち好日95872,26fac795-f302-4f90-af3c-faeed71800dc,ff427ef6-9c0e-4ff8-9d78-5ca575848550,2022/02/07,にちにち好日　ＶｅｇｅＬａｂｏ,にちにち好日ＶｅｇｅＬａｂｏ,株式会社にちにち好日
にちにち好日 VegeLabo,石川県,加賀市小塩辻町ケ69,加賀市小塩辻町ケ６９,,,みそ又はしょうゆ製造業,株式会社にちにち好日,長谷川琢磨,加賀市大聖寺新町1‐1,加賀市大聖寺新町１－１,,,2022.2.7,2022.2.7,新規,第62215180号,,217,にちにち好日 VegeLabo,0761,,,,,石川県　加賀市小塩辻町ケ６９,石川県加賀市小塩辻町が６９,,95805,17,17206,小塩辻町,,2022/02/07,2022/02/07,,,株式会社にちにち好日,長谷川琢磨,,加賀市大聖寺新町１－１,石川県加賀市大聖寺新町１－１,,95872,石川県,加賀市,大聖寺新町,第62215180号,新規,みそ製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,にちにち好日ＶｅｇｅＬａｂｏ9580517206,45d01528-9196-4183-aef7-fc95ffa8a627,株式会社にちにち好日95872,26fac795-f302-4f90-af3c-faeed71800dc,3a6e743b-0235-4377-986b-76f6468d778e,2022/02/07,にちにち好日　ＶｅｇｅＬａｂｏ,にちにち好日ＶｅｇｅＬａｂｏ,株式会社にちにち好日
にちにち好日 VegeLabo,石川県,加賀市小塩辻町ケ69,加賀市小塩辻町ケ６９,,,そうざい製造業,株式会社にちにち好日,長谷川琢磨,加賀市大聖寺新町1‐1,加賀市大聖寺新町１－１,,,2022.2.7,2022.2.7,新規,第62215181号,,217,にちにち好日 VegeLabo,0761,,,,,石川県　加賀市小塩辻町ケ６９,石川県加賀市小塩辻町が６９,,95805,17,17206,小塩辻町,,2022/02/07,2022/02/07,,,株式会社にちにち好日,長谷川琢磨,,加賀市大聖寺新町１－１,石川県加賀市大聖寺新町１－１,,95872,石川県,加賀市,大聖寺新町,第62215181号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,にちにち好日ＶｅｇｅＬａｂｏ9580517206,45d01528-9196-4183-aef7-fc95ffa8a627,株式会社にちにち好日95872,26fac795-f302-4f90-af3c-faeed71800dc,51773022-2dfd-49e4-8144-aa47ab9199da,2022/02/07,にちにち好日　ＶｅｇｅＬａｂｏ,にちにち好日ＶｅｇｅＬａｂｏ,株式会社にちにち好日
にちにち好日 VegeLabo,石川県,加賀市小塩辻町ケ69,加賀市小塩辻町ケ６９,,,漬物製造業,株式会社にちにち好日,長谷川琢磨,加賀市大聖寺新町1‐1,加賀市大聖寺新町１－１,,,2022.2.7,2022.2.7,新規,第62215182号,,217,にちにち好日 VegeLabo,0761,,,,,石川県　加賀市小塩辻町ケ６９,石川県加賀市小塩辻町が６９,,95805,17,17206,小塩辻町,,2022/02/07,2022/02/07,,,株式会社にちにち好日,長谷川琢磨,,加賀市大聖寺新町１－１,石川県加賀市大聖寺新町１－１,,95872,石川県,加賀市,大聖寺新町,第62215182号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,E,9,,,にちにち好日ＶｅｇｅＬａｂｏ9580517206,45d01528-9196-4183-aef7-fc95ffa8a627,株式会社にちにち好日95872,26fac795-f302-4f90-af3c-faeed71800dc,6be2274b-ec7c-4eee-a90f-0b04e51f80b5,2022/02/07,にちにち好日　ＶｅｇｅＬａｂｏ,にちにち好日ＶｅｇｅＬａｂｏ,株式会社にちにち好日
いっぷくや,石川県,加賀市山代温泉温泉通60番地,加賀市山代温泉温泉通６０番地,,,飲食店営業,一般社団法人ＹＯＵ・湯・遊,須谷祐二,加賀市山代温泉温泉通43番地,加賀市山代温泉温泉通４３番地,,0761-76-1312,2022.2.21,2022.2.21,新規,第62215183号,,217,いっぷくや,0761,,,,,石川県　加賀市山代温泉温泉通６０番地,石川県加賀市山代温泉温泉通６０番地,,96041,17,17206,山代温泉温泉通,,2022/02/21,2022/02/21,,,一般社団法人ＹＯＵ・湯・遊,須谷祐二,0761-76-1312,加賀市山代温泉温泉通４３番地,石川県加賀市山代温泉温泉通４３番地,,96041,石川県,加賀市,山代温泉温泉通,第62215183号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,いっぷくや9604117206,dfb8a36d-3b73-4eab-9cee-4dc35c14f46c,一般社団法人ＹＯＵ・湯・遊96041,9d4da560-c658-4f9d-ab0d-2e4407e70719,830cb241-04ef-4288-84ae-7519505a66dc,2022/02/21,いっぷくや,いっぷくや,一般社団法人ＹＯＵ・湯・遊
ファミリーマート加賀インター前店,石川県,加賀市熊坂町オ220番地,加賀市熊坂町オ２２０番地,,,飲食店営業,吉竹敏彦,,,,,,2022.3.1,2022.3.1,新規,第62215184号,,217,ファミリーマート加賀インター前店,0761,,,,,石川県　加賀市熊坂町オ２２０番地,石川県加賀市熊坂町オ２２０番地,,95820,17,17206,熊坂町,,2022/03/01,2022/03/01,,,,吉竹敏彦 ,,,,,,,,,第62215184号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,ファミリマト加賀インタ前店9582017206,ff67ccfa-1256-44f9-81e1-904ac8588290,,personal,266f6f1d-c0fc-4bf9-8d2c-1f4a371c1d34,2022/03/01,ファミリーマート加賀インター前店,ファミリマト加賀インタ前店,
コーヒー店すみれ,石川県,加賀市三木町ト122-1,加賀市三木町ト１２２－１,,,飲食店営業,山田紀子,,,,,,2022.3.1,2022.3.1,新規,第62215185号,,217,コーヒー店すみれ,0761,,,,,石川県　加賀市三木町ト１２２－１,石川県加賀市三木町ト１２２－１,,95942,17,17206,三木町,,2022/03/01,2022/03/01,,,,山田紀子 ,,,,,,,,,第62215185号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,コヒ店すみれ9594217206,62ab0311-08c3-4332-b29b-e54b42e17f6e,,personal,8e0349fd-857f-42b3-b423-d4b1299b76ac,2022/03/01,コーヒー店すみれ,コヒ店すみれ,
お花見久兵衛　５階主厨房,石川県,加賀市山中温泉下谷町ニ138-1,加賀市山中温泉下谷町ニ１３８－１,,0761-78-1301,飲食店営業,有限会社吉花,吉本龍平,加賀市山中温泉下谷町ニ138-1,加賀市山中温泉下谷町ニ１３８－１,,0761-78-1301,2022.3.1,2022.3.1,新規,第62215186号,,217,お花見久兵衛　５階主厨房,0761,0761-78-1301,,,,石川県　加賀市山中温泉下谷町ニ１３８－１,石川県加賀市山中温泉下谷町ニ１３８－１,,96008,17,17206,山中温泉下谷町,,2022/03/01,2022/03/01,,,有限会社吉花,吉本龍平,0761-78-1301,加賀市山中温泉下谷町ニ１３８－１,石川県加賀市山中温泉下谷町ニ１３８－１,,96008,石川県,加賀市,山中温泉下谷町,第62215186号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2022年02月_2022年03月01日現在_新規,M,76,,,お花見久兵衛５階主厨房0761-78-13019600817206,85807240-64e0-408b-945c-37860d3b4a0b,有限会社吉花96008,d6d1d853-5aff-4e47-a109-27d411ab0496,cf4b3b4e-c81e-445a-9efe-090b28a9083f,2022/03/01,お花見久兵衛　５階主厨房,お花見久兵衛５階主厨房,有限会社吉花
